ID,SurveySessionID,QuestionID,QuestionName,SectionID,SubmittedAt,Duration,Date
26,24,1,Q01,1,2024-09-29 10:25:40.704843616 +0000 UTC,4,2005
57,21,1,Q01,1,2024-09-29 10:57:49.69915485 +0000 UTC,10,1978
85,26,1,Q01,1,2024-09-30 13:40:31.025781722 +0000 UTC,11,1979
113,28,1,Q01,1,2024-09-30 14:07:43.480215246 +0000 UTC,11,1979
185,40,1,Q01,1,2024-10-05 20:21:35.036157764 +0000 UTC,15,1962
247,47,1,Q01,1,2024-10-14 08:19:42.050342723 +0000 UTC,8,1975
286,51,1,Q01,1,2024-10-17 18:35:07.169889309 +0000 UTC,8,1963
345,55,1,Q01,1,2024-10-18 14:30:23.053045001 +0000 UTC,14,1969
362,57,1,Q01,1,2024-10-18 17:35:53.618294767 +0000 UTC,15,1977
458,64,1,Q01,1,2024-10-24 11:53:14.263099087 +0000 UTC,19,1983
500,69,1,Q01,1,2024-11-05 16:14:04.088115881 +0000 UTC,12,1963
614,76,1,Q01,1,2024-11-13 15:40:27.446888366 +0000 UTC,14,1996
648,94,1,Q01,1,2024-11-14 08:47:06.694466703 +0000 UTC,60,1970
666,95,1,Q01,1,2024-11-14 09:47:43.620974768 +0000 UTC,15,1988
719,98,1,Q01,1,2024-11-21 09:42:42.032639744 +0000 UTC,18,1996
769,102,1,Q01,1,2024-11-27 14:12:54.973160456 +0000 UTC,19,1980
797,103,1,Q01,1,2024-11-27 16:33:12.521658775 +0000 UTC,11,1967
839,108,1,Q01,1,2024-12-02 07:06:54.788703144 +0000 UTC,16,1979
877,115,1,Q01,1,2024-12-10 15:49:31.347356029 +0000 UTC,19,1960
912,117,1,Q01,1,2024-12-11 12:40:17.47456561 +0000 UTC,18,1960
943,119,1,Q01,1,2024-12-11 13:58:54.904128697 +0000 UTC,16,1977
1049,132,1,Q01,1,2024-12-17 11:20:03.870858704 +0000 UTC,14,1981
1172,148,1,Q01,1,2025-01-05 16:22:34.992218381 +0000 UTC,16,1970
1200,149,1,Q01,1,2025-01-05 16:46:52.140963476 +0000 UTC,9,1985
1230,151,1,Q01,1,2025-01-05 16:58:31.114705465 +0000 UTC,6,1984
1258,152,1,Q01,1,2025-01-05 17:18:47.987521965 +0000 UTC,9,1977
1286,153,1,Q01,1,2025-01-05 17:26:38.586621674 +0000 UTC,6,1988
1314,154,1,Q01,1,2025-01-05 17:33:02.106457691 +0000 UTC,14,1981
1342,155,1,Q01,1,2025-01-05 17:41:30.820990215 +0000 UTC,7,1979
1370,156,1,Q01,1,2025-01-05 18:35:24.106325884 +0000 UTC,18,1990
1398,157,1,Q01,1,2025-01-05 18:46:11.240087099 +0000 UTC,8,1980
1426,158,1,Q01,1,2025-01-05 18:52:30.165354315 +0000 UTC,6,1990
1454,159,1,Q01,1,2025-01-05 19:02:33.976903999 +0000 UTC,5,1989
1482,160,1,Q01,1,2025-01-05 19:09:55.095371548 +0000 UTC,7,1991
1510,161,1,Q01,1,2025-01-05 19:21:32.006348892 +0000 UTC,5,1982
1538,162,1,Q01,1,2025-01-05 19:26:18.029980048 +0000 UTC,13,1960
1569,164,1,Q01,1,2025-01-05 19:31:10.983429747 +0000 UTC,7,1984
1597,165,1,Q01,1,2025-01-05 19:39:53.737023248 +0000 UTC,7,1980
1625,166,1,Q01,1,2025-01-05 19:43:45.876324286 +0000 UTC,4,1988
1653,167,1,Q01,1,2025-01-05 19:48:05.236525973 +0000 UTC,5,1977
1681,168,1,Q01,1,2025-01-07 13:01:54.390036036 +0000 UTC,11,1992
1709,169,1,Q01,1,2025-01-08 12:30:15.653879401 +0000 UTC,18,1980
1737,170,1,Q01,1,2025-01-15 13:26:57.008330519 +0000 UTC,10,1992
1777,176,1,Q01,1,2025-01-28 20:09:46.500196406 +0000 UTC,32,1967
1821,179,1,Q01,1,2025-01-28 22:23:36.332049301 +0000 UTC,44,1959
1925,191,1,Q01,1,2025-01-29 13:24:45.187487772 +0000 UTC,33,1968
2013,199,1,Q01,1,2025-02-03 15:38:49.912740232 +0000 UTC,17,1970
2046,201,1,Q01,1,2025-02-05 21:33:15.544465197 +0000 UTC,41,1976
2148,217,1,Q01,1,2025-03-10 16:25:38.076124738 +0000 UTC,11,1974
2183,219,1,Q01,1,2025-03-17 15:36:26.002201843 +0000 UTC,21,1970
2211,220,1,Q01,1,2025-03-18 12:01:19.237035601 +0000 UTC,12,1990
2250,223,1,Q01,1,2025-03-18 17:17:52.068548334 +0000 UTC,7,1966
2278,224,1,Q01,1,2025-03-19 13:32:45.449254642 +0000 UTC,12,1970
2365,231,1,Q01,1,2025-04-01 15:34:07.882256571 +0000 UTC,11,1969
2393,232,1,Q01,1,2025-04-01 16:22:28.073626715 +0000 UTC,21,1964
2434,236,1,Q01,1,2025-04-08 07:20:47.022064573 +0000 UTC,12,1968
