ID,SurveySessionID,QuestionID,QuestionName,SectionID,SubmittedAt,Duration,Text
52,24,27,QF2,5,2024-09-29 10:30:43.981236808 +0000 UTC,3,zcvzxcvzxcvz
83,21,27,QF2,5,2024-09-29 11:02:09.314014287 +0000 UTC,8,TEST
111,26,27,QF2,5,2024-09-30 14:03:21.894243521 +0000 UTC,2,
139,28,27,QF2,5,2024-09-30 14:11:57.486231748 +0000 UTC,1,
211,40,27,QF2,5,2024-10-05 20:45:05.243283693 +0000 UTC,2,
273,47,27,QF2,5,2024-10-14 08:45:27.505807933 +0000 UTC,3,
312,51,27,QF2,5,2024-10-17 19:08:11.469028159 +0000 UTC,2,
388,57,27,QF2,5,2024-10-18 17:50:56.948364795 +0000 UTC,2,
415,55,27,QF2,5,2024-10-21 09:38:01.985802517 +0000 UTC,63,Rather long and demanding questionnaire. Doubts about protection of identity.  
484,64,27,QF2,5,2024-10-24 12:08:03.55954457 +0000 UTC,2,
526,69,27,QF2,5,2024-11-05 16:50:38.460272867 +0000 UTC,3,
646,76,27,QF2,5,2024-11-13 16:50:03.45272374 +0000 UTC,2,
682,94,27,QF2,5,2024-11-14 09:56:08.359551276 +0000 UTC,3,
702,95,27,QF2,5,2024-11-14 10:15:55.13332477 +0000 UTC,2,
745,98,27,QF2,5,2024-11-21 10:46:28.301271972 +0000 UTC,3,
795,102,27,QF2,5,2024-11-27 15:25:52.917591362 +0000 UTC,119,"Perhaps that the ""relatively"" and ""somewhat"", despite being clear what is meant visually, are linguistically quite similar words. Suggestion to take this into account when drawing conclusions as the readers might not make difference, if not presented visually. Also, it would be interesting to get the results of the survey shared also through the same email that you reached out to. Good luck."
823,103,27,QF2,5,2024-11-27 16:55:15.431563868 +0000 UTC,2,
865,108,27,QF2,5,2024-12-02 08:05:59.069586671 +0000 UTC,3,
903,115,27,QF2,5,2024-12-10 16:23:55.885602437 +0000 UTC,2,
941,117,27,QF2,5,2024-12-11 13:21:15.903175537 +0000 UTC,2,
969,119,27,QF2,5,2024-12-11 14:35:02.947048027 +0000 UTC,3,
1075,132,27,QF2,5,2024-12-17 11:59:09.95618032 +0000 UTC,2,
1198,148,27,QF2,5,2025-01-05 16:44:55.881230454 +0000 UTC,1,
1226,149,27,QF2,5,2025-01-05 16:56:47.114972848 +0000 UTC,1,
1256,151,27,QF2,5,2025-01-05 17:17:52.436659025 +0000 UTC,1,
1284,152,27,QF2,5,2025-01-05 17:24:22.148434156 +0000 UTC,1,
1312,153,27,QF2,5,2025-01-05 17:32:22.865538903 +0000 UTC,0,
1340,154,27,QF2,5,2025-01-05 17:38:34.532676769 +0000 UTC,1,
1368,155,27,QF2,5,2025-01-05 18:34:48.168962412 +0000 UTC,1,
1396,156,27,QF2,5,2025-01-05 18:40:32.601115448 +0000 UTC,1,
1424,157,27,QF2,5,2025-01-05 18:50:49.923140428 +0000 UTC,1,
1452,158,27,QF2,5,2025-01-05 19:02:10.513709322 +0000 UTC,0,
1480,159,27,QF2,5,2025-01-05 19:09:21.989415954 +0000 UTC,0,
1508,160,27,QF2,5,2025-01-05 19:20:14.422291394 +0000 UTC,0,
1536,161,27,QF2,5,2025-01-05 19:25:45.669397419 +0000 UTC,0,
1564,162,27,QF2,5,2025-01-05 19:30:16.040365305 +0000 UTC,0,
1595,164,27,QF2,5,2025-01-05 19:34:39.65583321 +0000 UTC,0,
1623,165,27,QF2,5,2025-01-05 19:43:11.292368414 +0000 UTC,0,
1651,166,27,QF2,5,2025-01-05 19:47:34.080589708 +0000 UTC,0,
1679,167,27,QF2,5,2025-01-05 19:52:04.786094005 +0000 UTC,0,
1707,168,27,QF2,5,2025-01-07 14:05:41.899918968 +0000 UTC,6,
1735,169,27,QF2,5,2025-01-08 13:05:09.261317575 +0000 UTC,10,
1763,170,27,QF2,5,2025-01-15 14:02:59.852831174 +0000 UTC,1,
1811,176,27,QF2,5,2025-01-28 20:46:48.038098427 +0000 UTC,1,
1848,179,27,QF2,5,2025-01-28 23:15:50.299601331 +0000 UTC,23,
1951,191,27,QF2,5,2025-01-29 14:04:11.983115023 +0000 UTC,2,
2039,199,27,QF2,5,2025-02-03 16:10:42.954857954 +0000 UTC,1,
2072,201,27,QF2,5,2025-02-05 21:44:51.465166152 +0000 UTC,7,N/A
2181,217,27,QF2,5,2025-03-11 15:22:00.419749077 +0000 UTC,2,
2209,219,27,QF2,5,2025-03-17 16:23:00.526301593 +0000 UTC,2,
2237,220,27,QF2,5,2025-03-18 12:37:43.59583968 +0000 UTC,2,
2276,223,27,QF2,5,2025-03-18 17:41:01.151991257 +0000 UTC,2,
2304,224,27,QF2,5,2025-03-19 13:52:21.621092963 +0000 UTC,2,
2391,231,27,QF2,5,2025-04-01 15:48:57.830972741 +0000 UTC,4,
2419,232,27,QF2,5,2025-04-01 16:42:17.051078024 +0000 UTC,2,
2473,236,27,QF2,5,2025-04-08 07:59:20.578675999 +0000 UTC,6,
